beige	Beige represents the basics, the essentials and the barest form. It may also indicate your neutral or unbiased position.
black	Dark, night, death, mourning, gloomy, sorrow, dirt, wicked, evil, drama.
blue	Water, sky, heaven, cold, distance, masculinity, rest, melancholy. Because it’s associated with the color of the sea and the sky, blue has come to symbolize serenity and infinity. That’s especially true of the more greenish shades of blue, such as aqua and teal. On the other hand, cooler shades of blue can have a tendency to cause feelings of sadness. Blue represents truth, wisdom, heaven, eternity, devotion, tranquility, loyalty and openness
brown	Autumn, earth, rustic, basic, nature, reliability, conservatism. Brown is another warm and comforting color, stimulating the appetite and actually making food taste better. That makes coffee brown, in all intensities, with or without the cream, an ideal candidate for dining rooms. Brown denotes worldliness, practicality, domestic and physical comfort, conservatism, and a materialistic character. Brown also represents the ground and earth.
burgundy	To see the color burgundy in your dream, symbolizes wealth, success, and prosperity. It is indicative of your potential power.
fuchsia	The color fuchsia represents your connection to your spirituality and meditation. You are letting go of old attitudes and ready for change. This color is also associated with emotional stability.
gray	Gray indicates fear, fright, depression, ill health, ambivalence and confusion. You may feel emotionally distant or detached.
green	Growth, nature, hope, fresh, fertility, gentle, pastoral, envy. Green is another color that has both an up and down side. It’s associated with the new growth of spring, prosperity, and clean, fresh air, yet it can also carry a negative connotation, in terms of mold, nausea, and jealousy. Throughout the ages, green has most often been considered to represent fertility, and during the fifteenth century, green was the most popular choice of for the wedding gowns of European brides. Green signifies a positive change, good health, growth, healing, hope, vigor, vitality, peace, and serenity. Green is also symbolic of your strive to gain recognition and establish your independence. Money, wealth and jealousy are often associated with this color.
indigo	Indigo implies spirituality and divine protection. It may also mean deceit.
ivory	The color ivory, signifies superiority and slightly tainted purity.
maroon	The color maroon is symbolic of courage, bravery, heroism, and strength.
orange	Warmth, autumn, energy, tension, cheer, life. Orange is considered a warm color, perhaps because it has evoked the feeling of fire, all the way back to mankind’s earliest beginnings. Painting walls a subtle orange, leaning toward a warm brown, stimulates the appetite and can reduce tension. However, as the orange color becomes brighter, it begins to take on a high energy feel and can lead to anxiety. Orange denotes friendliness, courtesy, lively, sociability, and an out-going nature. You may want to expand your horizons and look into new interests.
pink	The appearance of hot pink color in your dream, represents sex and lust. Pink represents love, joy, sweetness, happiness, affection, kindness.  Being in love or healing through love is also implied with this color.
purple	Shadow, religion, fantasy, magic, royalty, dignity. Over the millennia, purple has been associated with royalty in Western civilizations, due to the difficulty and expense involved in producing purple dye, which was made from a particular species of mollusk shell. Even today, when purple can be produced just as inexpensively as any other color, the use of purple is still considered to represent elegance and sophistication. Purple is indicative of devotion, healing abilities, loving, kindness, and compassion.  It is also the color of royalty, high rank, and dignity.
red	Rage, blood, fire, danger, courage, bravery, excitement, passion, sex. Red has traditionally been associated with courage and love in Western culture, but in China, red is the color of happiness and good fortune. In fact, white has traditionally been the color most preferred for wedding dresses in America, but the Chinese prefer to dress their brides in red. Red is an indication of raw energy, force, vigor, intense passion, aggression, power, courage and passion. The color red has deep emotional and spiritual connotations. Red is also the color of danger, shame, sexual impulses and urges. Perhaps you need to stop and think about your actions.
teal	The color teal signifies trustworthiness, devotion and healing. It is also indicative of spiritual guidance and teacher.
turquoise	Turquoise is symbolic of healing power and natural energy. It is often associated with the sun, fire, and male power.
violet	Violet denotes high spirituality, religious aspiration, purification, affection, gentleness, charm, and peacefulness. There is a sense of intuitive understanding and a feeling of intimacy.
white	Winter, peace, glory, purity, innocence, clean, pale, weak, harsh. White represents purity, perfection, peace, innocence, dignity, cleanliness, awareness, and new beginnings. You may be experiencing a reawakening or have a fresh outlook on life. However, in Eastern cultures, white is associated with death and mourning.
yellow	Caution, heat, sun, light, brightness, radiance, joy, cowardness, jaundiced. Since it’s always been associated with the sun, yellow has traditionally been considered a cheerful color. Yellow is also the first color most people see in early spring, when the daffodils begin to bloom. However, there seems to be an East/West cultural difference when it comes to yellow. The Chinese revere yellow enough to have considered it the imperial color since the 10th century, yet several Western studies have shown that yellow is many people’s least favorite color. The color yellow has both positive and negative connotations. If the dream is a pleasant one, then the color yellow is symbolic of  intellect, energy, agility, happiness, harmony, and wisdom. On the other hand, if the dream is an unpleasant one, then the color represents cowardice and sickness. You may have a fear or an inability to make a decision or take action. As a result, you are experiencing many setbacks.
