aardvark	An anteater is a warning to be cautious in your business dealings. It indicates that you might be exposed to new elements, people or events, that will threaten your business discipline and work ethic.
abandonment	Dreams of being abandonned often reflect feelings of low self-esteem and undesirability more than literal concerns of betrayal or desertion. If we have been feeling low or have suffered a setback in our romantic or professional life, this dream is a call to action. It is time to identify your goals, so you can feel better about yourself and leave these dreams behind!
abyss	an abyss is as deep as your fear of the hidden feelings inside of you or of a situation that threatens your happiness. Falling in this abyss reflects your despair and anxiety. Dreaming of an abyss will tell you that you need to overcome your deepest fears and get rid of the obstacles in your way.
academy	An opportunity for building new relationships, meeting new friends, crossing new bridges.
accelerator	Dreaming of an accelerator (gas pedal) means that you are in control and you will be relying on your own strength and efforts to reach your goals. If, on the other hand, the accelerator is jammed or malfunctioning, then it means that you are losing control of an aspect of your life such as a bad habit which you cannot seem to stop.
accident	The first approach to explaining dreaming of an accident is to consider it as a warning for possible future traffic accidents. You might be rehearsing a dangerous situation that you could have avoided if you would have been more cautious. Maybe it is time to slow down, and face your fears and doubts, are you still in control, is there any built up guilt? When someone you know dies in an accident in your dream, you might want to consider the nature of your relationship with that person, it might need some serious mending.
accordion	You are light hearted, joyful and relaxed. It might take you some work and hard effort to reach this state of mind if you dream that you are the one playing the accordion, and not a simple listener.
accounting	Objectivity and awarness are needed to make the best of your situation. You should be cautious in your business dealings, it is not the time to take chances or to make risky investments.
accusation	You must be getting ready to face a difficult situation where you feel guilt and frustration. These negative feelings will lead you to confrontations and arguments. So if you dream of being accused or accusing someone, it is high time to take a step back and think it over before letting anger take control of your life.
achiever	Success will crown your efforts, and you will be harvesting the ripe fruits with a feeling of relief and pride.
aching	When you are aching in your dream, you are being torn by contradictory feelings and difficult choices. If you do not take a stand quickly enough you might lose some valuable dealings or relationships.
acid	A dream implying the handling or absorbtion of acid means that self destruction, rage and anger are boiling inside of you. You may need to calm down and take some distance, look at your problems in a different neutral angle.
